"Terme de programme","Origine","Lignes de matrice","Slug retenu","Type de correspondance","Confiance","Commentaire"
"chaîne d'information","vocabulaire","M012, M041, M056","non rattaché","rejet","backlog","Aucune fiche « chaîne d'information » (notion pivot du cycle 4)."
"détecteur","vocabulaire","M012, M071","non rattaché","rejet","backlog","Aucune fiche « détecteur » ; ne pas l'assimiler à « capteur » (un détecteur est tout-ou-rien)."
"capteur/actionneur/interface","vocabulaire","M013","actionneur","compose","haute","Libellé composé ; « interface » n'a pas de fiche."
"capteur/actionneur/interface","vocabulaire","M013","capteur","compose","haute","Libellé composé ; « interface » n'a pas de fiche."
"protocole","vocabulaire","M013","protocole-de-communication","variante","haute",""
"réseau local","vocabulaire","M013","non rattaché","rejet","backlog","Aucune fiche « réseau informatique / réseau local »."
"systèmes embarqués","vocabulaire","M013","electronique-embarquee","sens","haute","La fiche Électronique embarquée définit les systèmes embarqués."
"Systèmes embarqués, microcontrôleurs, réseaux informatiques","notion","M013","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"microcontrôleur","vocabulaire","M013, M021, M024, M031, M037, M043, M058","microcontroleur","direct","haute",""
"loi des mailles","vocabulaire","M014","non rattaché","rejet","backlog","Aucune fiche."
"Loi des mailles et des nœuds","notion","M014","non rattaché","rejet","backlog","Aucune fiche sur les lois de Kirchhoff."
"loi des nœuds","vocabulaire","M014","non rattaché","rejet","backlog","Aucune fiche."
"Capteurs, actionneurs, IHM","notion","M015","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"microprocesseur","vocabulaire","M015","microprocesseur","direct","haute",""
"système embarqué","vocabulaire","M015","electronique-embarquee","sens","haute","Idem, au singulier."
"IHM","vocabulaire","M015, M058","non rattaché","rejet","backlog","Aucune fiche « interface homme-machine »."
"servomoteur électrique","vocabulaire","M016","servomoteur","variante","haute",""
"Servomoteurs et électronique de puissance","notion","M016","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"consommation électrique","vocabulaire","M016, M019","consommation-electrique","direct","haute",""
"électronique de puissance","vocabulaire","M016, M063","electronique-de-puissance","direct","haute",""
"acquisition de données","vocabulaire","M017","non rattaché","rejet","backlog","Aucune fiche ; notion des programmes 2de GT et STI2D."
"commande d'actionneur","vocabulaire","M017","actionneur","sens","moyenne","Commander un actionneur : rattaché à la fiche Actionneur."
"Commande d'actionneur et acquisition de données","notion","M017","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"ports d'entrée/sortie","vocabulaire","M017","non rattaché","rejet","backlog","Aucune fiche « entrées/sorties »."
"capteur CCD","vocabulaire","M018","capteur-optique","sens","moyenne","Idem."
"Capteur photographique (CCD)","notion","M018","capteur-optique","sens","moyenne","Un capteur CCD est un capteur optique (la fiche cite photodiode et phototransistor)."
"photosite","vocabulaire","M018","non rattaché","rejet","hors périmètre","Détail de constitution d'un capteur d'image, hors périmètre."
"résolution du capteur","vocabulaire","M018","non rattaché","rejet","hors périmètre","Caractéristique, pas une notion du wiki."
"centre de données","vocabulaire","M019","non rattaché","rejet","hors périmètre","Hors périmètre (informatique)."
"Consommation électrique des centres de données","notion","M019","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"refroidissement","vocabulaire","M019","non rattaché","rejet","hors périmètre","Refroidissement d'un centre de données ; ventilateur-de-refroidissement et dissipateur-thermique sont des composants, pas la notion visée."
"caractéristique tension-courant","vocabulaire","M020","non rattaché","rejet","backlog","Aucune fiche « caractéristique courant-tension »."
"Caractéristique tension-courant et capteurs","notion","M020","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"courbe d'étalonnage","vocabulaire","M020","non rattaché","rejet","hors périmètre","Méthode expérimentale, hors périmètre."
"multimètre","vocabulaire","M020, M021, M031","multimetre","direct","haute",""
"Instrumentation électrique de laboratoire","notion","M021","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"interface d'acquisition","vocabulaire","M021","non rattaché","rejet","backlog","Aucune fiche ; voir « chaîne d'acquisition »."
"oscilloscope","vocabulaire","M021","non rattaché","rejet","backlog","Aucune fiche « oscilloscope » alors que l'appareil est au programme de 2de GT."
"chiffres significatifs","vocabulaire","M022","non rattaché","rejet","hors périmètre","Mathématiques, hors périmètre."
"incertitude","vocabulaire","M022","non rattaché","rejet","hors périmètre","Métrologie générale, hors périmètre."
"Incertitude de mesure électrique","notion","M022","non rattaché","rejet","hors périmètre","Métrologie générale, hors périmètre."
"Capteur associé à un microcontrôleur","notion","M024","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"conversion électrochimique","vocabulaire","M025","non rattaché","rejet","backlog","Aucune fiche sur la conversion électrochimique ; les fiches pile/batterie ne la définissent pas."
"dynamo","vocabulaire","M025","dynamo","direct","haute",""
"Méthodes de production d'énergie électrique","notion","M025","production-d-electricite","sens","haute",""
"panneau photovoltaïque","vocabulaire","M025","panneau-photovoltaique","direct","haute",""
"pile à hydrogène","vocabulaire","M025","non rattaché","rejet","backlog","Aucune fiche « pile à combustible / à hydrogène »."
"Effet Joule et optimisation du transport","notion","M026","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"transport de l'électricité","vocabulaire","M026, M027","reseau-de-transport","sens","haute","Le transport de l'électricité est assuré par le réseau de transport."
"effet Joule","vocabulaire","M026, M030","non rattaché","rejet","backlog","Aucune fiche « effet Joule » alors que la notion est au programme (terminale, spé PC)."
"Réseau de distribution électrique","notion","M027","reseau-de-distribution","direct","haute",""
"réseau de distribution","vocabulaire","M027, M065","reseau-de-distribution","direct","haute",""
"champ électrostatique","vocabulaire","M028","champ-electrique","sens","haute","Le champ électrostatique est le champ électrique créé par des charges au repos."
"charge électrique","vocabulaire","M028","charge-electrique","direct","haute",""
"Charge électrique et champ électrostatique","notion","M028","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"interaction électrostatique","vocabulaire","M028","electrostatique","sens","haute","La fiche Électrostatique traite les charges au repos et leurs interactions."
"ligne de champ","vocabulaire","M028","non rattaché","rejet","backlog","Aucune fiche « ligne de champ »."
"loi de Coulomb","vocabulaire","M028","non rattaché","rejet","backlog","Aucune fiche « loi de Coulomb »."
"caractéristique","vocabulaire","M029","non rattaché","rejet","backlog","Idem (ligne M029)."
"débit de charges","vocabulaire","M029","non rattaché","rejet","hors périmètre","Définition de l'intensité, déjà portée par le terme « intensité » de la même ligne."
"résistance interne","vocabulaire","M029","non rattaché","rejet","backlog","Aucune fiche « résistance interne »."
"source réelle de tension","vocabulaire","M029","generateur-electrique","sens","moyenne","Modèle du générateur réel (f.é.m. + résistance interne) : rattaché à Générateur électrique."
"Source réelle de tension","notion","M029","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire identique de la ligne."
"dipôle ohmique","vocabulaire","M030","resistance","sens","moyenne","Le dipôle ohmique est le conducteur ohmique modélisant la résistance (cf. définition de la fiche)."
"énergie","vocabulaire","M030","non rattaché","rejet","backlog","Aucune fiche « énergie » ; ne pas confondre avec puissance (AGENTS.md §3)."
"Puissance, énergie et rendement","notion","M030","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"rendement","vocabulaire","M030, M036, M065","rendement-energetique","variante","haute",""
"convertisseur","vocabulaire","M030, M052","non rattaché","rejet","backlog","« Convertisseur » au sens d'un convertisseur d'énergie ; les fiches convertisseur-* du wiki traitent du signal ou de la fréquence."
"puissance","vocabulaire","M030, M072","puissance-electrique","variante","haute",""
"Instrumentation électrique","notion","M031","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"interface de mesure","vocabulaire","M031","non rattaché","rejet","backlog","Idem."
"schéma normalisé","vocabulaire","M031","schema-electrique","sens","haute","Le schéma normalisé d'un circuit est le schéma électrique."
"constante de temps","vocabulaire","M032","non rattaché","rejet","backlog","Aucune fiche « constante de temps »."
"dipôle RC","vocabulaire","M032","non rattaché","rejet","backlog","Aucune fiche « circuit RC »."
"Dipôle RC et condensateur","notion","M032","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"régime transitoire","vocabulaire","M032","non rattaché","rejet","backlog","Aucune fiche « régime transitoire »."
"condensateur","vocabulaire","M032, M033, M046, M052","condensateur","direct","haute",""
"diode","vocabulaire","M033","diode","direct","haute",""
"Électrocinétique complète","notion","M033","non rattaché","rejet","hors périmètre","Libellé chapeau ; couvert par le vocabulaire."
"inductance","vocabulaire","M033","bobine-inductance","variante","haute",""
"monophasé/triphasé","vocabulaire","M033","non rattaché","rejet","backlog","Aucune fiche monophasé/triphasé."
"résistance","vocabulaire","M033","resistance","direct","haute","Spé SI : liste de COMPOSANTS (résistance, inductance, condensateur, diode, transistor)."
"source alternative","vocabulaire","M033","courant-alternatif","sens","moyenne","Source de tension alternative : rattachée à la fiche Courant alternatif, faute de fiche « tension alternative »."
"transistor","vocabulaire","M033","transistor","direct","haute",""
"lois de Kirchhoff","vocabulaire","M033, M034","non rattaché","rejet","backlog","Aucune fiche."
"Circuit électrique : grandeurs flux/effort","notion","M034","circuit-electrique","sens","haute",""
"lois de comportement","vocabulaire","M034","non rattaché","rejet","hors périmètre","Vocabulaire de modélisation SI, hors périmètre."
"courant","vocabulaire","M034, M072","courant-electrique","variante","haute",""
"modulation/démodulation","vocabulaire","M035","modulation","variante","haute","La fiche Modulation traite la transmission d'information par un signal."
"Modulation/démodulation numérique","notion","M035","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"signal numérique","vocabulaire","M035","signal-numerique","direct","haute",""
"internet des objets","vocabulaire","M035, M043","objet-connecte-iot","sens","haute","L'internet des objets est traité par la fiche Objet connecté (IoT)."
"Chaîne de puissance et réversibilité","notion","M036","non rattaché","rejet","backlog","Idem."
"grandeur d'effort","vocabulaire","M036","non rattaché","rejet","hors périmètre","Vocabulaire de modélisation SI."
"grandeur de flux","vocabulaire","M036","non rattaché","rejet","hors périmètre","Vocabulaire de modélisation SI."
"stockage d'énergie","vocabulaire","M036","non rattaché","rejet","backlog","Aucune fiche « stockage d'énergie » ; ne pas l'assimiler à batterie ou accumulateur."
"chaîne de puissance","vocabulaire","M036, M039, M048, M051","non rattaché","rejet","backlog","Idem."
"Chaîne d'acquisition","notion","M037","non rattaché","rejet","backlog","Aucune fiche « chaîne d'acquisition »."
"chaîne d'acquisition","vocabulaire","M037","non rattaché","rejet","backlog","Aucune fiche."
"comparateur","vocabulaire","M038","non rattaché","rejet","backlog","Aucune fiche « comparateur »."
"correcteur proportionnel","vocabulaire","M038","non rattaché","rejet","backlog","Aucune fiche « correcteur »."
"erreur statique","vocabulaire","M038","non rattaché","rejet","hors périmètre","Grandeur d'automatique, hors périmètre v1."
"système asservi","vocabulaire","M038","non rattaché","rejet","backlog","Aucune fiche."
"Systèmes asservis linéaires","notion","M038","non rattaché","rejet","backlog","Aucune fiche « système asservi »."
"adaptation","vocabulaire","M039","non rattaché","rejet","hors périmètre","Terme générique de la chaîne de puissance."
"Chaîne de puissance","notion","M039","non rattaché","rejet","backlog","Aucune fiche « chaîne de puissance »."
"conversion","vocabulaire","M039","non rattaché","rejet","hors périmètre","Terme générique de la chaîne de puissance."
"modulation","vocabulaire","M039","electronique-de-puissance","sens","moyenne","Ligne M039 : « modulation » de l'ÉNERGIE dans la chaîne de puissance ; la fiche Modulation traite du signal et ne convient pas ici."
"AC/DC","vocabulaire","M040","redresseur","sens","haute","La conversion AC/DC est le redressement."
"DC/AC","vocabulaire","M040","onduleur","sens","haute","La conversion DC/AC est l'onduleur."
"DC/DC","vocabulaire","M040","non rattaché","rejet","backlog","Aucune fiche « hacheur / convertisseur DC-DC » ; alimentation-a-decoupage en est une application, pas la notion."
"modulation de puissance","vocabulaire","M040","electronique-de-puissance","sens","moyenne","Idem."
"Modulation électrique commandée","notion","M040","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"amplification","vocabulaire","M041","non rattaché","rejet","backlog","Aucune fiche générique « amplificateur » ; les fiches existantes sont spécialisées (audio, opérationnel) et gain-electronique ne traite que le gain."
"Chaîne d'information et conditionnement","notion","M041","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"filtrage passe-bas","vocabulaire","M041","filtre-passe-bas","variante","haute",""
"Conversion analogique-numérique (CAN)","notion","M042","convertisseur-analogique-numerique-can","sens","haute",""
"échantillonnage","vocabulaire","M042","non rattaché","rejet","backlog","Aucune fiche « échantillonnage »."
"quantum","vocabulaire","M042","non rattaché","rejet","backlog","Caractéristique du convertisseur, sans fiche propre."
"résolution","vocabulaire","M042","non rattaché","rejet","backlog","Caractéristique du convertisseur, sans fiche propre."
"CAN","vocabulaire","M042, M058","convertisseur-analogique-numerique-can","variante","haute","Abréviation du programme ; à ne pas confondre avec le bus CAN (ligne M044)."
"amplificateur linéaire intégré","vocabulaire","M043","amplificateur-operationnel","sens","haute","ALI est le nom des programmes pour l'amplificateur opérationnel."
"Cartes microcontrôleur et objets connectés","notion","M043","non rattaché","rejet","backlog","Aucune fiche générique « carte à microcontrôleur » ; carte-arduino est une carte particulière, non citée par les programmes."
"nano-ordinateur","vocabulaire","M043","carte-raspberry-pi","sens","moyenne","Le nano-ordinateur des programmes STI2D correspond à la carte Raspberry Pi (carte à microprocesseur exécutant un système d'exploitation)."
"Bus de communication et transmission sans fil","notion","M044","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"bus KNX/CAN/I²C/SPI","vocabulaire","M044","bus-i2c","compose","haute","Libellé composé : I²C et SPI ont une fiche ; KNX et CAN n'en ont pas (backlog)."
"bus KNX/CAN/I²C/SPI","vocabulaire","M044","bus-spi","compose","haute","Libellé composé : I²C et SPI ont une fiche ; KNX et CAN n'en ont pas (backlog)."
"Bluetooth","vocabulaire","M044, M059","bluetooth","direct","haute",""
"bus de terrain","vocabulaire","M044, M059","bus-de-donnees","sens","moyenne","Un bus de terrain est un bus de données industriel ; aucune fiche dédiée."
"WiFi","vocabulaire","M044, M059","wi-fi","variante","haute",""
"Réseau de transport et de distribution","notion","M045","reseau-de-distribution","compose","haute","Libellé composé recouvrant deux fiches."
"Réseau de transport et de distribution","notion","M045","reseau-de-transport","compose","haute","Libellé composé recouvrant deux fiches."
"alternatif/continu","vocabulaire","M045, M053","courant-alternatif","compose","haute","Libellé composé recouvrant deux fiches."
"alternatif/continu","vocabulaire","M045, M053","courant-continu","compose","haute","Libellé composé recouvrant deux fiches."
"réseau de distribution électrique","vocabulaire","M045, M053","reseau-de-distribution","direct","haute",""
"Stockage électrostatique","notion","M046","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"diagramme de Ragone","vocabulaire","M046, M052","non rattaché","rejet","hors périmètre","Outil de comparaison, hors périmètre."
"supercondensateur","vocabulaire","M046, M052","non rattaché","rejet","backlog","Aucune fiche « supercondensateur »."
"Boucle de régulation/asservissement","notion","M047","non rattaché","rejet","backlog","Idem."
"point de fonctionnement","vocabulaire","M047","non rattaché","rejet","backlog","Aucune fiche « point de fonctionnement »."
"asservissement","vocabulaire","M047, M070","non rattaché","rejet","backlog","Aucune fiche."
"régulation","vocabulaire","M047, M070","non rattaché","rejet","backlog","Aucune fiche « régulation » ; regulateur-de-tension désigne un composant, pas la boucle de régulation."
"Chaîne de puissance approfondie","notion","M048","non rattaché","rejet","backlog","Idem."
"production/transformation d'énergie","vocabulaire","M048","production-d-electricite","sens","moyenne","Volet « production » de la chaîne de puissance STI2D."
"performance énergétique","vocabulaire","M049","efficacite-energetique","sens","haute","La performance énergétique d'un système est traitée par la fiche Efficacité énergétique."
"système de gestion","vocabulaire","M049","non rattaché","rejet","hors périmètre","Terme générique, sans fiche."
"Système de gestion et performance énergétique","notion","M049","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"cahier des charges énergétique","vocabulaire","M050","non rattaché","rejet","hors périmètre","Hors périmètre."
"Conception d'une chaîne d'énergie","notion","M050","non rattaché","rejet","hors périmètre","Activité de conception, pas une notion à définir."
"paramétrage","vocabulaire","M050","non rattaché","rejet","hors périmètre","Activité, hors périmètre."
"programmation","vocabulaire","M050, M055","non rattaché","rejet","hors périmètre","Informatique, hors périmètre du wiki élec."
"Simulation énergétique multi-physique","notion","M051","non rattaché","rejet","hors périmètre","Activité de simulation, hors périmètre."
"simulation multi-physique","vocabulaire","M051","non rattaché","rejet","hors périmètre","Hors périmètre."
"Convertisseurs et stockeurs d'énergie","notion","M052","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"modulateur","vocabulaire","M052","non rattaché","rejet","hors périmètre","Bloc fonctionnel de la chaîne de puissance ; voir « modulation de puissance »."
"mix énergétique","vocabulaire","M053","non rattaché","rejet","backlog","Aucune fiche « mix énergétique »."
"Réseaux électriques alternatifs/continus (approfondi)","notion","M053","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"Architecture matérielle et logicielle","notion","M054","non rattaché","rejet","hors périmètre","Informatique, hors périmètre."
"architecture matérielle/logicielle","vocabulaire","M054","non rattaché","rejet","hors périmètre","Informatique, hors périmètre."
"algorithme","vocabulaire","M055","non rattaché","rejet","hors périmètre","Informatique, hors périmètre."
"Algorithme et programmation","notion","M055","non rattaché","rejet","hors périmètre","Informatique, hors périmètre."
"Simulation du comportement informationnel","notion","M056","non rattaché","rejet","hors périmètre","Activité de simulation, hors périmètre."
"simulation informationnelle","vocabulaire","M056","non rattaché","rejet","hors périmètre","Hors périmètre."
"acquisition","vocabulaire","M057","non rattaché","rejet","hors périmètre","Terme générique ; voir « chaîne d'acquisition »."
"Chaîne d'information et architecture associée","notion","M057","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"restitution de l'information","vocabulaire","M057","non rattaché","rejet","hors périmètre","Terme générique, sans fiche."
"Cartes microcontrôleur et IHM","notion","M058","non rattaché","rejet","backlog","Idem."
"Réseaux et bus de communication (approfondi)","notion","M059","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"routeur","vocabulaire","M059","non rattaché","rejet","backlog","Aucune fiche « routeur »."
"Champ d'intervention sur les installations électriques","notion","M060","installation-electrique","sens","haute","Le champ d'intervention du CAP porte sur les installations électriques."
"réseaux de communication (cuivre, fibre optique, sans fil)","vocabulaire","M060","non rattaché","rejet","backlog","Aucune fiche « fibre optique » ni « réseau de communication » ; sans-fil couvert par wi-fi seulement."
"distribution","vocabulaire","M060, M064","reseau-de-distribution","sens","haute","Idem (champ d'intervention CAP / bac pro)."
"production","vocabulaire","M060, M064","production-d-electricite","sens","haute","Volet « production » du champ d'intervention CAP / bac pro."
"transformation de l'énergie électrique","vocabulaire","M060, M064","poste-de-transformation","sens","basse","CONFIANCE BASSE : dans le champ production/transport/distribution/transformation, « transformation » désigne les postes de transformation, mais le terme peut aussi viser la conversion d'énergie en général. À trancher."
"transport","vocabulaire","M060, M064","reseau-de-transport","sens","haute","Idem (champ d'intervention CAP / bac pro)."
"alimentation → action","vocabulaire","M061","non rattaché","rejet","hors périmètre","Blocs fonctionnels de la chaîne d'énergie, pas une notion."
"chaîne de l'énergie","vocabulaire","M061","non rattaché","rejet","backlog","Idem."
"Circuits électriques et chaîne de l'énergie","notion","M061","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire de la ligne."
"courant électrique","vocabulaire","M062","courant-electrique","direct","haute",""
"Courant électrique et ses effets","notion","M062","non rattaché","rejet","hors périmètre","Libellé chapeau, couvert par le vocabulaire."
"courants faibles/forts","vocabulaire","M062","non rattaché","rejet","hors périmètre","Vocabulaire de chantier, sans fiche."
"effet thermique/magnétique/chimique","vocabulaire","M062","non rattaché","rejet","backlog","Effets du courant : aucune fiche dédiée (voir aussi « effet Joule »)."
"Électronique de puissance, moteurs et transformateurs","notion","M063","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"moteur à courant alternatif","vocabulaire","M063","moteur-electrique","sens","haute","Aucune fiche « moteur asynchrone » ; rattaché à la fiche générale Moteur électrique."
"transformateur","vocabulaire","M063, M068","transformateur","direct","haute",""
"Champ d'intervention RAP","notion","M064","non rattaché","rejet","hors périmètre","Libellé administratif (référentiel d'activités professionnelles) ; couvert par le vocabulaire."
"smartgrid","vocabulaire","M064","reseau-intelligent-smart-grid","variante","haute",""
"Architecture des réseaux de distribution","notion","M065","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"pertes","vocabulaire","M065","non rattaché","rejet","backlog","Pertes en ligne : aucune fiche (voir « effet Joule »)."
"centrale électrique","vocabulaire","M066","centrale-electrique","direct","haute",""
"Moyens de production d'électricité","notion","M066","production-d-electricite","sens","haute",""
"production centralisée/décentralisée","vocabulaire","M066","non rattaché","rejet","backlog","Aucune fiche sur la production centralisée/décentralisée."
"pré-actionneur","vocabulaire","M067","non rattaché","rejet","backlog","Aucune fiche « préactionneur »."
"protection des personnes","vocabulaire","M067","non rattaché","rejet","backlog","Aucune fiche « protection des personnes » ; les fiches disjoncteur/fusible ne couvrent pas la notion (pas de fiche différentiel ni habilitation)."
"Protection des personnes et des biens","notion","M067","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"schéma de liaison à la terre","vocabulaire","M067","mise-a-la-terre","sens","haute","Le schéma de liaison à la terre (régime de neutre) repose sur la mise à la terre."
"compatibilité électromagnétique","vocabulaire","M068","compatibilite-electromagnetique-cem","direct","haute",""
"Conversion et modulation de l'énergie électrique","notion","M068","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"machine électromagnétique","vocabulaire","M068","moteur-electrique","sens","moyenne","Machine électromagnétique (moteur ou génératrice) : la fiche la plus proche est Moteur électrique."
"variateur","vocabulaire","M068","convertisseur-de-frequence","sens","moyenne","Un variateur de vitesse pour moteur alternatif est un convertisseur de fréquence (cf. définition de la fiche)."
"bus de données","vocabulaire","M069","bus-de-donnees","direct","haute",""
"Réseaux VDI et bus de données","notion","M069","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"VDI","vocabulaire","M069","non rattaché","rejet","backlog","Aucune fiche « VDI (voix-données-images) »."
"automatisme","vocabulaire","M070","non rattaché","rejet","backlog","Aucune fiche « automatisme »."
"Automatismes et asservissement","notion","M070","non rattaché","rejet","backlog","Idem."
"Capteurs et détecteurs","notion","M071","non rattaché","rejet","hors périmètre","Couvert par le vocabulaire."
"fréquence","vocabulaire","M072","frequence-electrique","variante","haute","Ligne M072 : fréquence du réseau alternatif."
"Grandeurs électriques en régime établi","notion","M072","non rattaché","rejet","hors périmètre","Libellé chapeau ; le vocabulaire de la ligne porte les rattachements."
"régime continu/monophasé/triphasé","vocabulaire","M072","courant-continu","sens","moyenne","Seul le régime continu a une fiche ; monophasé et triphasé n'en ont pas (backlog)."
