"ID_Ligne","ID_Famille","Cycle","Niveau","Discipline","Notion (normalisée)","Formulation originale","Attendu / Compétence","Vocabulaire associé","Notion(s) antérieure(s)","Notion(s) postérieure(s)","Source (référence BO)","Niveau_maitrise","Fiabilite_source","Cycle_scolaire_normalise","Remarques"
"M011","FAM04","Cycle 4","5e/4e/3e","Technologie — « La modélisation et la simulation des objets et systèmes techniques »","Chaîne d'énergie","Chaîne d'énergie (extrait de : « chaîne d'énergie et chaîne d'information ; capteurs, actionneurs, nature du signal »)","Identifier les flux d'énergie sur un objet technique.","chaîne d'énergie","","M061 ; M036 ; M039 ; M025","Arrêté du 29-2-2024 (technologie cycle 4)","","officiel-integral","C4",""
"M012","FAM05","Cycle 4","5e/4e/3e","Technologie — « La modélisation et la simulation des objets et systèmes techniques »","Chaîne d'information, capteurs et actionneurs","Chaîne d'information ; capteurs, actionneurs, nature du signal (analogique/numérique)","Identifier les flux d'information sur un objet ; mesurer des grandeurs via des instruments usuels.","chaîne d'information, capteur, codeur, détecteur, signal analogique/numérique, actionneur","M010","M015","Arrêté du 29-2-2024 (technologie cycle 4) ; citation : « Prototypage rapide de structures et de circuits de commande à partir de cartes standard »","","officiel-integral","C4",""
"M013","FAM06","Cycle 4","5e/4e/3e","Technologie — « L'informatique et la programmation »","Systèmes embarqués, microcontrôleurs, réseaux informatiques","Systèmes embarqués, microcontrôleurs, réseaux informatiques (protocoles, architecture)","Comprendre le fonctionnement d'un réseau informatique ; écrire, mettre au point et exécuter un programme commandant un système réel.","systèmes embarqués, microcontrôleur, capteur/actionneur/interface, protocole, réseau local","M006","M017","Arrêté du 29-2-2024 (technologie cycle 4)","","officiel-integral","C4",""
"M014","FAM02","2de GT","2de GT","Physique-Chimie","Loi des mailles et des nœuds","Circuits électriques et lois de l'électricité, prolongement du collège","Exploiter la loi des mailles et des nœuds dans un circuit électrique comportant, au plus, deux mailles.","dipôle, loi des mailles, loi des nœuds, tension, intensité","M009","M034","Document d'accompagnement eduscol « L'électricité dans les programmes » (juillet 2019), explicitant l'arrêté du 17-1-2019 / BO spécial n°1 du 22-1-2019 — arrêté brut non consulté ; citation : « les élèves exploitent notamment la loi des mailles et des nœuds dans un circuit électrique comportant, au plus, deux mailles »","","officiel-accompagnement","2GT",""
"M015","FAM05","2de GT","2de GT","SNT — « Informatique embarquée et objets connectés »","Capteurs, actionneurs, IHM","Capteurs, actionneurs, interface homme-machine (IHM) dans les systèmes embarqués","Identifier des algorithmes de contrôle des comportements physiques à travers les données des capteurs, l'IHM et les actions des actionneurs.","capteur, actionneur, IHM, système embarqué, microprocesseur","M012","M016","BO spécial n°1 du 22-1-2019, arrêté du 17-1-2019 (SNT 2de) ; citation : « Les capteurs et actionneurs reposent sur des technologies physiques et électroniques variées »","","officiel-integral","2GT",""
"M016","FAM05","2de GT","2de GT","SNT — « Informatique embarquée et objets connectés »","Servomoteurs et électronique de puissance","Servomoteurs électriques, électronique de puissance, consommation électrique des appareils sur pile","Élément de culture scientifique : l'informatique gère le vol en commandant finement des servomoteurs électriques.","servomoteur électrique, électronique de puissance, consommation électrique","M015","M018","BO spécial n°1 du 22-1-2019, arrêté du 17-1-2019 (SNT 2de)","","officiel-integral","2GT",""
"M017","FAM06","2de GT","2de GT","SNT — « Informatique embarquée et objets connectés »","Commande d'actionneur et acquisition de données","Commande d'un actionneur et acquisition des données d'un capteur par programme","Écrire des programmes simples d'acquisition de données ou de commande d'un actionneur.","acquisition de données, commande d'actionneur, ports d'entrée/sortie","M013","M043","BO spécial n°1 du 22-1-2019, arrêté du 17-1-2019 (SNT 2de)","","officiel-integral","2GT",""
"M018","FAM05","2de GT","2de GT","SNT — « La photographie numérique »","Capteur photographique (CCD)","Capteur photographique (photosites), capteurs CCD","Distinguer les photosites du capteur et les pixels de l'image.","capteur CCD, photosite, résolution du capteur","M016","M024","BO spécial n°1 du 22-1-2019, arrêté du 17-1-2019 (SNT 2de) ; citation : « arrivée des premiers capteurs CCD (Charge Coupled Device) »","","officiel-integral","2GT",""
"M019","FAM17","2de GT","2de GT","SNT — « Les données structurées et leur traitement »","Consommation électrique des centres de données","Consommation électrique des centres de données (datacenters)","Identifier les principales causes de la consommation énergétique des centres de données.","centre de données, consommation électrique, refroidissement","","","BO spécial n°1 du 22-1-2019, arrêté du 17-1-2019 (SNT 2de)","","officiel-integral","2GT",""
"M020","FAM14","2de GT","2de GT","Physique-Chimie","Caractéristique tension-courant et capteurs","Caractéristique tension-courant d'un dipôle, capteurs","Réaliser des mesures au multimètre ; tracer et exploiter une caractéristique tension-courant, y compris pour des capteurs.","multimètre, caractéristique tension-courant, capteur, courbe d'étalonnage","","M021","Document d'accompagnement eduscol « L'électricité dans les programmes » (juillet 2019), explicitant l'arrêté du 17-1-2019 / BO spécial n°1 du 22-1-2019 — arrêté brut non consulté","","officiel-accompagnement","2GT",""
"M021","FAM14","2de GT","2de GT","Physique-Chimie","Instrumentation électrique de laboratoire","Instrumentation électrique de laboratoire","Utilisation de multimètres, microcontrôleurs associés à des capteurs, oscilloscopes, interfaces d'acquisition.","multimètre, microcontrôleur, oscilloscope, interface d'acquisition","M020","M022","Document d'accompagnement eduscol « L'électricité dans les programmes » (juillet 2019), explicitant l'arrêté du 17-1-2019 / BO spécial n°1 du 22-1-2019 — arrêté brut non consulté","","officiel-accompagnement","2GT",""
"M022","FAM14","2de GT","2de GT","Physique-Chimie","Incertitude de mesure électrique","Incertitude de mesure appliquée à l'électricité","Discuter l'influence de l'instrument de mesure et le nombre de chiffres significatifs pour un résultat de mesure électrique.","incertitude, chiffres significatifs","M021","M031","Document d'accompagnement eduscol « L'électricité dans les programmes » (juillet 2019), explicitant l'arrêté du 17-1-2019 / BO spécial n°1 du 22-1-2019 — arrêté brut non consulté","","officiel-accompagnement","2GT",""
"M023","FAM19","1ère/Tle GT","1ère générale","Enseignement scientifique — tronc commun","Absence de notion d'électricité/électronique dédiée","Aucune notion d'électricité/électronique dédiée dans les 4 thèmes du programme (matière, Soleil/énergie, Terre, son/musique)","—","—","M008","M024","education.gouv.fr (février 2023) / BO n°25 du 22-6-2023 — texte intégral 1ère consulté","","officiel-integral","1G",""
"M024","FAM05","1ère/Tle GT","1ère générale","Enseignement scientifique — « Projet expérimental et numérique »","Capteur associé à un microcontrôleur","Mention indirecte : usage d'un capteur éventuellement associé à un microcontrôleur comme outil de mesure","La dimension numérique du projet repose sur l'utilisation de matériels (capteur, microcontrôleur).","capteur, microcontrôleur","M018","M041 ; M037","education.gouv.fr (février 2023) / BO n°25 du 22-6-2023 — texte intégral 1ère consulté ; citation : « capteur éventuellement associé à un microcontrôleur »","","officiel-integral","1G",""
"M025","FAM04","1ère/Tle GT","Terminale générale","Enseignement scientifique — « Le futur des énergies », sous-partie « Le futur de l'électricité »","Méthodes de production d'énergie électrique","Méthodes de production d'énergie électrique sans combustion (conversion mécanique, radiative, électrochimique)","Identifier les trois grandes familles de conversion vers l'énergie électrique.","énergie électrique, conversion électrochimique, dynamo, panneau photovoltaïque, pile à hydrogène","M011","","BO n°25 du 22-6-2023 — contenu Tle recoupé via sources secondaires, texte brut de l'annexe Tle non consulté ; citation : « TROIS MÉTHODES PERMETTENT D'OBTENIR DE L'ÉNERGIE ÉLECTRIQUE SANS NÉCESSITER DE COMBUSTION »","","secondaire","TG",""
"M026","FAM08","1ère/Tle GT","Terminale générale","Enseignement scientifique — « Le futur des énergies »","Effet Joule et optimisation du transport","Optimisation du transport de l'électricité, effet Joule","Discuter l'effet Joule dans le transport de l'électricité.","effet Joule, transport de l'électricité","M030","","BO n°25 du 22-6-2023 — contenu Tle recoupé via sources secondaires, texte brut de l'annexe Tle non consulté (paraphrase, source secondaire non citée verbatim faute d'accès au texte brut)","","secondaire","TG",""
"M027","FAM13","1ère/Tle GT","Terminale générale","Enseignement scientifique — « Le futur des énergies »","Réseau de distribution électrique","Réseau de distribution électrique","Modéliser un réseau de distribution électrique.","réseau de distribution, transport de l'électricité","","M045","BO n°25 du 22-6-2023 — contenu Tle recoupé via sources secondaires, texte brut de l'annexe Tle non consulté","","secondaire","TG",""
"M028","FAM07","1ère/Tle GT","1ère générale, spé PC","Physique-Chimie — « Mouvement et interactions »","Charge électrique et champ électrostatique","Charge électrique, interaction et champ électrostatiques, loi de Coulomb","Utiliser la loi de Coulomb ; utiliser les expressions vectorielles de la force et du champ électrostatiques ; cartographier un champ électrostatique.","charge électrique, interaction électrostatique, loi de Coulomb, champ électrostatique, ligne de champ","","","Annexe BO spécial n°1 du 22-1-2019 (spécialité physique-chimie, 1ère) ; citation : « Charge électrique, interaction électrostatique, influence électrostatique. Loi de Coulomb. »","","officiel-integral","1G",""
"M029","FAM08","1ère/Tle GT","1ère générale, spé PC","Physique-Chimie — « Aspects énergétiques des phénomènes électriques »","Source réelle de tension","Intensité et débit de charges ; modèle d'une source réelle de tension continue (source idéale + résistance série)","Relier intensité d'un courant continu et débit de charges ; déterminer la caractéristique d'une source réelle et la modéliser par une source idéale associée à une résistance.","intensité, débit de charges, source réelle de tension, résistance interne, caractéristique","","M030","Annexe BO spécial n°1 du 22-1-2019 (spécialité physique-chimie, 1ère) ; citation : « Modèle d'une source réelle de tension continue comme association en série d'une source idéale de tension continue et d'une résistance »","","officiel-integral","1G",""
"M030","FAM08","1ère/Tle GT","1ère générale, spé PC","Physique-Chimie — « Aspects énergétiques des phénomènes électriques »","Puissance, énergie et rendement","Puissance et énergie électriques, bilan de puissance, effet Joule, rendement d'un convertisseur","Citer des ordres de grandeur de puissances ; définir et évaluer le rendement d'un convertisseur.","puissance, énergie, effet Joule, dipôle ohmique, rendement, convertisseur","M029","M026 ; M032","Annexe BO spécial n°1 du 22-1-2019 (spécialité physique-chimie, 1ère)","","officiel-integral","1G",""
"M031","FAM14","1ère/Tle GT","1ère générale, spé PC","Physique-Chimie — capacités expérimentales transversales","Instrumentation électrique","Instrumentation électrique : multimètre, montage conforme à un schéma normalisé, microcontrôleur","Utiliser un multimètre en adaptant le calibre ; réaliser un montage électrique conforme à un schéma normalisé ; mesurer/traiter un signal via microcontrôleur.","multimètre, schéma normalisé, microcontrôleur, interface de mesure","M022","","Annexe BO spécial n°1 du 22-1-2019 (spécialité physique-chimie, 1ère)","","officiel-integral","1G",""
"M032","FAM09","1ère/Tle GT","Tle générale, spé PC","Physique-Chimie — « L'énergie : conversions et transferts » (non vérifié en texte brut)","Dipôle RC et condensateur","Dipôle RC, charge/décharge d'un condensateur, constante de temps","Étudier la réponse d'un dipôle RC à un échelon de tension (attendu classique de ce niveau, selon sources secondaires convergentes).","condensateur, dipôle RC, constante de temps, régime transitoire","M030","M046","BO spécial n°8 du 25-7-2019 — non consulté en texte brut, contenu recoupé via sources secondaires","","secondaire","TG",""
"M033","FAM10","1ère/Tle GT","1ère/Tle spé SI","Sciences de l'ingénieur — compétence « Modéliser et résoudre »","Électrocinétique complète","Électrocinétique : résistance, inductance, condensateur, interrupteurs parfaits (diode, transistor), sources continues/alternatives, systèmes monophasé/triphasé","Base disciplinaire de référence donnée à titre indicatif (paragraphe « Contexte » du programme, non prescriptif) : composants (résistance, inductance, condensateur, interrupteurs parfaits de type diode et transistor), sources continues/alternatives, systèmes monophasé/triphasé ; support pour modéliser sous forme graphique un circuit électrique.","résistance, inductance, condensateur, diode, transistor, source alternative, monophasé/triphasé, lois de Kirchhoff","M034","","Programme 1ère/Tle spécialité SI (arrêté applicable rentrée 2019 pour la 1ère, 2020 pour la Tle) ; citation : « résistance, inductance, condensateur, interrupteurs parfaits de type diode et transistors »","","officiel-integral","1-TG","Attendu différencié de M034 en v2 (base de référence indicative ; Kirchhoff porté par M034)."
"M034","FAM02","1ère/Tle GT","1ère spé SI","Sciences de l'ingénieur — compétence « Modéliser et résoudre »","Circuit électrique : grandeurs flux/effort","Circuit électrique : détermination des grandeurs flux/effort (courant/tension)","Déterminer les grandeurs flux (courant) et effort (tension) dans un circuit électrique en utilisant les lois de Kirchhoff (connaissance associée du tableau officiel).","courant, tension, lois de Kirchhoff, lois de comportement","M014","M033","Programme 1ère/Tle spécialité SI (arrêté applicable rentrée 2019 pour la 1ère, 2020 pour la Tle)","","officiel-integral","1G","Attendu différencié de M033 en v2 (lois de Kirchhoff, connaissance associée)."
"M035","FAM11","1ère/Tle GT","Terminale spé SI","Sciences de l'ingénieur — compétence « Analyser »","Modulation/démodulation numérique","Modulation et démodulation numériques de signaux (amplitude, fréquence), internet des objets","Analyser les principes de modulation et démodulation numériques à partir de simulations multi-physiques.","modulation/démodulation, signal numérique, internet des objets","","","Programme 1ère/Tle spécialité SI (arrêté applicable rentrée 2019 pour la 1ère, 2020 pour la Tle) ; citation : « Notions de modulation-démodulation de signaux numériques en amplitude, en fréquence »","","officiel-integral","TG",""
"M036","FAM04","1ère/Tle GT","1ère/Terminale spé SI","Sciences de l'ingénieur — compétence « Analyser »","Chaîne de puissance et réversibilité","Échanges d'énergie, puissance instantanée (grandeur d'effort × grandeur de flux), réversibilité d'une chaîne de puissance","Caractériser la puissance et l'énergie nécessaires au fonctionnement d'un produit ; analyser la réversibilité d'un élément de la chaîne de puissance.","chaîne de puissance, grandeur d'effort, grandeur de flux, rendement, stockage d'énergie","M011","M039","Programme 1ère/Tle spécialité SI (arrêté applicable rentrée 2019 pour la 1ère, 2020 pour la Tle)","","officiel-integral","1-TG",""
"M037","FAM05","1ère/Tle GT","Terminale spé SI","Sciences de l'ingénieur — compétence « Expérimenter et simuler »","Chaîne d'acquisition","Chaîne d'acquisition : capteurs, carte microcontrôleur","Instrumenter tout ou partie d'un produit en vue de mesurer les performances (capteurs, composants d'une chaîne d'acquisition, carte micro-contrôleur).","capteur, chaîne d'acquisition, microcontrôleur","M024","M071","Programme 1ère/Tle spécialité SI (arrêté applicable rentrée 2019 pour la 1ère, 2020 pour la Tle)","","officiel-integral","TG",""
"M038","FAM12","1ère/Tle GT","Terminale spé SI","Sciences de l'ingénieur — compétence « Analyser »","Systèmes asservis linéaires","Systèmes asservis linéaires (chaîne directe/bouclée, correcteur proportionnel, précision)","Analyser le comportement d'un système asservi : structures par chaîne directe ou bouclée, perturbation, comparateur, correcteur proportionnel.","système asservi, comparateur, correcteur proportionnel, erreur statique","M047","","Programme 1ère/Tle spécialité SI (arrêté applicable rentrée 2019 pour la 1ère, 2020 pour la Tle)","","officiel-integral","TG",""
"M039","FAM04","STI2D","1ère/Tle STI2D","ETT — « Approche fonctionnelle et structurelle d'une chaîne de puissance »","Chaîne de puissance","Captation, stockage, conversion, modulation, adaptation, transmission de puissance (électrique, mécanique, etc.)","Notion de chaîne de puissance ; caractérisation externe des fonctions.","chaîne de puissance, conversion, modulation, adaptation","M011 ; M036","M040","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020) ; citation : « Notion de chaîne de puissance. Principales fonctions relatives à la chaîne de puissance : captation d'énergie ; stockage, transport, distribution ; conversion, transformation ; modulation, adaptation, transmission »","","officiel-integral","STI2D",""
"M040","FAM04","STI2D","1ère/Tle STI2D","ETT — « Modulation/adaptation de puissance »","Modulation électrique commandée","Modulation électrique commandée (AC/AC, AC/DC, DC/AC, DC/DC)","Connaître les types de modulation de puissance (tout ou rien, progressive) sans détail de structure.","AC/DC, DC/AC, DC/DC, modulation de puissance","M039","M048","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020)","","officiel-integral","STI2D",""
"M041","FAM05","STI2D","1ère/Tle STI2D","ETT — « Approche fonctionnelle et structurelle d'une chaîne d'information »","Chaîne d'information et conditionnement","Acquisition, traitement, communication d'une information ; conditionnement d'une grandeur électrique (amplification, filtrage)","Notion de chaîne d'information ; conditionnement (mise en forme, amplification, filtrage) d'une grandeur électrique.","chaîne d'information, amplification, filtrage passe-bas","M024","M042","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020)","","officiel-integral","STI2D",""
"M042","FAM05","STI2D","1ère/Tle STI2D","ETT — « Acquisition et restitution de l'information »","Conversion analogique-numérique (CAN)","Conversion analogique-numérique (CAN)","Connaître les caractéristiques utiles d'un CAN (grandeur d'entrée/sortie, nombre de bits, résolution, quantum) sans structure interne.","CAN, résolution, quantum, échantillonnage","M041","M056 ; M057","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020)","","officiel-integral","STI2D",""
"M043","FAM06","STI2D","1ère/Tle STI2D","ETT — « Constituants de l'information »","Cartes microcontrôleur et objets connectés","Capteurs analogiques/numériques, amplificateurs à circuits spécialisés, filtres passe-bas du 1er ordre, cartes à microcontrôleur, nano-ordinateurs, objets connectés","Se limiter à caractériser les capteurs par leurs relations d'entrée/sortie ; privilégier les cartes électroniques programmables.","capteur, amplificateur linéaire intégré, microcontrôleur, nano-ordinateur, internet des objets","M017","M058","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020)","","officiel-integral","STI2D",""
"M044","FAM15","STI2D","1ère/Tle STI2D","ETT — « Composants de transmission de l'information »","Bus de communication et transmission sans fil","Bus de communication (KNX, EnOcean, CAN, I²C, SPI), émetteurs/récepteurs sans fil (WiFi, Bluetooth, RF)","Aborder les différentes natures de bus et leurs caractéristiques ; privilégier l'usage de modules intégrés.","bus de terrain, bus KNX/CAN/I²C/SPI, WiFi, Bluetooth","","M059 ; M069","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020)","","officiel-integral","STI2D",""
"M045","FAM13","STI2D","1ère/Tle STI2D","ETT — « Réseaux intelligents »","Réseau de transport et de distribution","Structure d'un réseau de transport et de distribution d'énergie électrique (alternatif/continu)","Distinguer réseaux électriques alternatifs et continus.","réseau de distribution électrique, alternatif/continu","M027","M053","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020)","","officiel-integral","STI2D",""
"M046","FAM09","STI2D","1ère/Tle STI2D","ETT — « Constituants de puissance »","Stockage électrostatique","Stockage électrostatique (condensateur, supercondensateur)","Comparer les performances de stockage (diagramme de Ragone).","condensateur, supercondensateur, diagramme de Ragone","M032","M052","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020)","","officiel-integral","STI2D",""
"M047","FAM12","STI2D","1ère/Tle STI2D","ETT — « Comportement des systèmes régulés ou asservis »","Boucle de régulation/asservissement","Boucle de régulation/asservissement","Étudier l'organisation fonctionnelle d'une boucle de régulation ou d'asservissement.","régulation, asservissement, point de fonctionnement","","M038 ; M070","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020)","","officiel-integral","STI2D",""
"M048","FAM04","STI2D","Tle STI2D, spé EE","2I2D — « Approche fonctionnelle et structurelle de la chaîne de puissance » (EE1)","Chaîne de puissance approfondie","Procédés de stockage, production, transformation et récupération d'énergie pour la conception d'une chaîne de puissance","Caractériser la puissance et l'énergie nécessaires au fonctionnement d'un produit, pour la partie EE.","chaîne de puissance, production/transformation d'énergie","M040","M049","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020) (contenu spécifique EE, code EE1, même texte que l'ETT)","","officiel-integral","STI2D",""
"M049","FAM04","STI2D","Tle STI2D, spé EE","2I2D — « Réversibilité de la chaîne de puissance » (EE2)","Système de gestion et performance énergétique","Système de gestion d'une chaîne de puissance, performances énergétiques, optimisation du fonctionnement","Analyser tout ou partie d'une chaîne de puissance associée à son système de gestion pour en relever les performances et optimiser le fonctionnement.","système de gestion, performance énergétique","M048","M050","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020) (code EE2)","","officiel-integral","STI2D",""
"M050","FAM04","STI2D","Tle STI2D, spé EE","2I2D — « Concevoir » (EE1/EE2)","Conception d'une chaîne d'énergie","Définition ou modification de la structure, des constituants et des paramètres de fonctionnement d'une chaîne d'énergie ; paramétrage et programmation du système de gestion","Définir/modifier une chaîne d'énergie pour répondre à un cahier des charges et améliorer la performance énergétique.","paramétrage, programmation, cahier des charges énergétique","M049","M051","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020) (codes EE1/EE2)","","officiel-integral","STI2D",""
"M051","FAM04","STI2D","Tle STI2D, spé EE","2I2D — « Simuler » (EE1/EE2)","Simulation énergétique multi-physique","Simulation énergétique multi-physique (électrique, mécanique, thermique, lumineuse) d'un produit ; simulation de la gestion de la chaîne de puissance","Simuler tout ou partie d'un produit connaissant ses caractéristiques et paramètres externes/internes.","simulation multi-physique, chaîne de puissance","M050","","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020) (codes EE1/EE2)","","officiel-integral","STI2D",""
"M052","FAM09","STI2D","Tle STI2D, spé EE","2I2D — « Constituants de puissance » (§5.2)","Convertisseurs et stockeurs d'énergie","Convertisseurs, modulateurs et adaptateurs de puissance ; stockeurs d'énergie (électrostatique : condensateur, supercondensateur)","Porter attention aux grandeurs effort/flux et à la réversibilité des constituants.","convertisseur, modulateur, condensateur, supercondensateur, diagramme de Ragone","M046","","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020)","","officiel-integral","STI2D",""
"M053","FAM13","STI2D","Tle STI2D, spé EE","2I2D — « Réseaux intelligents » (§4.3.1)","Réseaux électriques alternatifs/continus (approfondi)","Structure d'un réseau de transport et de distribution d'énergie électrique alternatif ; réseaux électriques spécifiques (continu vs alternatif)","Expliquer la différence entre réseaux électriques alternatifs et continus, avec exemples domestique/industriel/urbain.","réseau de distribution électrique, alternatif/continu, mix énergétique","M045","","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020)","","officiel-integral","STI2D",""
"M054","FAM16","STI2D","Tle STI2D, spé SIN","2I2D — « Concevoir » (SIN1)","Architecture matérielle et logicielle","Architecture d'une solution logicielle et matérielle","Proposer/choisir l'architecture d'une solution logicielle et matérielle au regard de la définition d'un produit.","architecture matérielle/logicielle","","M055","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020) (code SIN1)","","officiel-integral","STI2D",""
"M055","FAM16","STI2D","Tle STI2D, spé SIN","2I2D — « Concevoir » (SIN2)","Algorithme et programmation","Algorithme de traitement, programmation de la réponse logicielle","Rechercher et écrire l'algorithme de fonctionnement puis programmer la réponse logicielle.","algorithme, programmation","M054","","Annexe 1 de l'arrêté STI2D (programme ETT/2I2D, applicable rentrée 2019/2020) (code SIN2)","","officiel-integral","STI2D",""
